82,plomo,Pb,a4 carbonoideo,207.200,2 8 18 32. 18; 4.,[X e]. 6s2. 4f14. 5d10. 6p2,327.5,1740
83,bismuto,Bi,a5 nitrogenoideo,208.980,2 8 18 32. 18; 5.,[X e]. 6s2. 4f14. 5d10. 6p3,271.4,1560
84,polonio,Po,a6 anfigeno,210.000,2 8 18 32. 18; 6.,[X e]. 6s2. 4f14. 5d10. 6p4,254,962
85,astatio,At,a7 halogeno,210.000,2 8 18 32. 18; 7.,[X e]. 6s2. 4f14. 5d10. 6p5,302,337
86,radon,Rn,0 gas noble,222.000,2 8 18 32. 18; 8.,[X e]. 6s2. 4f14. 5d10. 6p6,-71,-61.8
87,francio,Fr,a1 alcalino,223.000,2 8 18 32. 18; 8; 1.,[Rn]. 7s1,27,677
88,radio,Ra,a2 alcalino-terreo,226.000,2 8 18 32. 18; 8; 2.,[Rn]. 7s2,700,1140
89,actinio,Ac,b3 actinido,227.000,2 8 18 32. 18; 9. 2;,[Rn]. 7s2. 6d1,1047,3197
90,torio,Th,b3 actinido,232.038,2 8 18 32. 18; 10. 2;,[Rn]. 7s2. 6d2,1750,4787
91,protoactinio,Pa,b3 actinido,231.036,2 8 18 32. 20. 9; 2;,[Rn]. 7s2. 5f2. 6d1,1554,4030
92,uranio,U,b3 actinido,238.029,2 8 18 32. 21. 9; 2;,[Rn]. 7s2. 5f3. 6d1,1132.4,3818
93,neptunio,Np,b3 actinido,237.000,2 8 18 32. 22. 9; 2;,[Rn]. 7s2. 5f4. 6d1,640,3902
94,plutonio,Pu,b3 actinido,244.000,2 8 18 32. 24. 8; 2;,[Rn]. 7s2. 5f6,641,3327
95,americio,Am,b3 actinido,243.000,2 8 18 32. 25. 8; 2;,[Rn]. 7s2. 5f7,994,2607
96,curio,Cm,b3 actinido,247.000,2 8 18 32. 25. 9; 2;,[Rn]. 7s2. 5f7. 6d1,1340,
97,berkelio,Bk,b3 actinido,247.000,2 8 18 32. 27. 8; 2;,[Rn]. 7s2. 5f9,986,
98,californio,Cf,b3 actinido,251.000,2 8 18 32. 28. 8; 2;,"[Rn]. 7s2. 5f10 At",900,
99,einstenio,Es,b3 actinido,252.000,2 8 18 32. 29. 8; 2;,[Rn]. 7s2. 5f11,860,
100,fermio,Fm,b3 actinido,257.000,2 8 18 32. 30. 8; 2;,[Rn]. 7s2. 5f12,,
101,mendelevio,Md,b3 actinido,258.000,2 8 18 32. 31. 8; 2;,[Rn]. 7s2. 5f13,,
102,nobelio,No,b3 actinido,259.000,2 8 18 32. 32. 8; 2;,[Rn]. 7s2. 5f14,,
103,lawrencio,Lr,b3 actinido,262.000,2 8 18 32. 32. 9; 2;,[Rn]. 7s2. 5f14. 7d1,,
104,rutherfordio,Rf,sin determinar,261.000,2 8 18 32. 32; 10. 2?,[Rn]. 7s2. 5f14. 6d2?,,
105,dubnio,Db,sin determinar,262.000,desconocida,desconocida,,
106,seaborgio,Sg,sin determinar,266.000,desconocida,desconocida,,
107,bohrio,Bh,sin determinar,264.000,desconocida,desconocida,,
108,hassio,Hs,sin determinar,269.000,desconocida,desconocida,,
109,meitnerio,Mt,sin determinar,268.000,desconocida,desconocida,,
110,darmstadtio,Uun,sin determinar,sin determinar,desconocida,desconocida,,
111,roentgenio,Uuu,sin determinar,sin determinar,desconocida,desconocida,,
112,ununbio,Uub,sin determinar,sin determinar,desconocida,desconocida,,
114,ununquadio,Uuq,sin determinar,sin determinar,desconocida,desconocida,,
116,ununhexio,Uuh,sin determinar,sin determinar,desconocida,desconocida,,
